"Net migration rate (per 1,000 people)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"64"," Turkey","-0.4","","-0.4","","-0.3","","-0.1","","-0.1","","4.3"," a"
"108"," Turkmenistan","-2.3","","2.2","","-3.0","","-5.4","","-2.5","","-1.9"," a"
"162"," Uganda","2.9","","1.3","","-0.4","","-0.0","","-0.9","","-0.8"," a"
"88"," Ukraine","0.0"," o","0.3"," o","-1.9"," o","-0.7"," o","1.2"," o","-0.9"," a,o"
"34"," United Arab Emirates","32.2","","34.2","","34.6","","60.0","","103.7","","11.0"," a"
"14"," United Kingdom","0.3","","0.7","","1.7","","3.2","","6.6","","3.1"," a"
"13"," United States","2.8","","3.5","","6.3","","3.6","","3.3","","2.9"," a"
"55"," Uruguay","-2.0","","-1.3","","-1.6","","-6.3","","-3.0","","-1.8"," a"
"105"," Uzbekistan","-3.6","","-3.0","","-2.0","","-1.9","","-1.0","","-0.4"," a"
"138"," Vanuatu","-4.0","","-0.4","","-8.0","","-0.5","","1.0","","0.5"," a"
"78"," Venezuela (Bolivarian Republic of)","0.0","","-0.0","","-0.0","","-0.1","","-0.2","","-0.5"," a"
"116"," Viet Nam","-1.0","","-1.1","","-0.6","","-1.6","","-2.0","","-0.4"," a"
"178"," Yemen","-0.9","","9.0","","-1.2","","-1.2","","-0.6","","-0.6"," a"
"144"," Zambia","0.1","","-0.5","","1.6","","-1.6","","-1.9","","-0.5"," a"
"156"," Zimbabwe","1.8","","-3.7","","-3.7","","-5.6","","-4.4","","-3.3"," a"
"<a name=""a""></a>a: Data are average annual estimates for 2010-2015.<br /><a name=""b""></a>b: Includes Christmas Island Cocos (Keeling) Islands and Norfolk Island.<br /><a name=""c""></a>c: Includes Nagorno-Karabakh.<br /><a name=""d""></a>d: Includes Northern Cyprus.<br /><a name=""e""></a>e: Includes Åland Islands.<br /><a name=""f""></a>f: Includes Abkhazia and South Ossetia.<br /><a name=""g""></a>g: Includes Sabah and Sarawak.<br /><a name=""h""></a>h: Includes Agalega Rodrigues and Saint Brandon.<br /><a name=""i""></a>i: Includes Transnistria.<br /><a name=""j""></a>j: Includes Svalbard and Jan Mayen Islands.<br /><a name=""k""></a>k: Includes East Jerusalem.<br /><a name=""l""></a>l: Includes Kosovo.<br /><a name=""m""></a>m: Includes Canary Islands Ceuta and Melilla.<br /><a name=""n""></a>n: Includes Zanzibar.<br /><a name=""o""></a>o: Includes Crimea.<br />"
